;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
28;"FRA
FRA 01";"Violette Dorange
DeVenir";"22:30 FR
";10°17.97'N;28°11.38'W;168°;13.8 kts;13.8 kts;332.1 nm
29;"ITA
ITA 34";"Giancarlo Pedote
Prysmian";"22:30 FR
";10°48.55'N;26°24.46'W;171°;13.1 kts;13.1 kts;315.5 nm
30;"FRA
FRA 22";"Guirec Soudée
Freelance.com";"22:30 FR
";10°36.42'N;29°17.33'W;166°;13.3 kts;13.3 kts;320.2 nm
31;"FRA
FRA 1461";"Antoine Cornic
HUMAN Immobilier";"22:30 FR
";11°24.14'N;28°00.27'W;182°;11.8 kts;11.5 kts;282.3 nm
32;"SUI
SUI 7";"Alan Roura
Hublot";"22:30 FR
";11°41.87'N;26°41.22'W;174°;13.5 kts;13.5 kts;323.8 nm
33;"NZL
NZL 64";"Conrad Colman
MS Amlin";"22:30 FR
";11°56.43'N;23°59.99'W;226°;10.4 kts;9.0 kts;249.9 nm
34;"FRA
FRA 56";"Fabrice Amedeo
Nexans - Wewise";"22:30 FR
";12°10.44'N;28°47.06'W;176°;11.1 kts;11.0 kts;265.3 nm
35;"FRA
FRA 71";"Manuel Cousin
Coup de Pouce";"22:30 FR
";11°56.71'N;29°53.85'W;169°;12.6 kts;12.6 kts;302.6 nm
36;"SUI
SUI 49";"Oliver Heer
Tut gut.";"22:30 FR
";14°32.25'N;26°48.26'W;179°;11.9 kts;11.8 kts;284.5 nm
37;"BEL
BEL 207";"Denis Van Weynbergh
D'Ieteren Group";"22:30 FR
";14°53.70'N;29°53.90'W;174°;11.8 kts;11.7 kts;282.8 nm
38;"CHN
CHN 5";"Jingkun Xu
Singchain Team Haikou";"22:30 FR
";17°18.51'N;27°48.21'W;179°;9.0 kts;9.0 kts;216.7 nm
39;"HUN
HUN 23";"Szabolcs Weöres
New Europe";"22:30 FR
";24°42.02'N;17°48.99'W;233°;5.5 kts;4.6 kts;132.4 nm
;;;;;;;;;
