;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
1;"FRA
FRA 79";"Charlie Dalin
MACIF Santé Prévoyance";"22:30 FR
";26°29.55'S;14°17.77'W;129°;23.2 kts;23.1 kts;556.8 nm
2;"FRA
FRA 59";"Thomas Ruyant
VULNERABLE";"22:30 FR
";26°06.27'S;14°58.56'W;129°;23.0 kts;22.9 kts;551.8 nm
3;"FRA
FRA 24";"Yoann Richomme
PAPREC ARKÉA";"22:01 FR
-28min";26°05.28'S;16°05.98'W;134°;22.1 kts;22.1 kts;530.4 nm
4;"FRA
FRA 112";"Sébastien Simon
Groupe Dubreuil";"22:30 FR
";25°20.63'S;15°49.88'W;131°;22.6 kts;22.6 kts;542.4 nm
5;"FRA
FRA85";"Nicolas Lunven
HOLCIM - PRB";"22:30 FR
";25°13.25'S;16°12.78'W;131°;22.6 kts;22.6 kts;543.4 nm
6;"FRA
FRA 3";"Jérémie Beyou
Charal";"22:30 FR
";25°06.53'S;16°07.43'W;131°;22.5 kts;22.4 kts;539.9 nm
7;"GBR
FRA 100";"Sam Goodchild
VULNERABLE";"22:30 FR
";25°12.59'S;16°23.99'W;131°;21.3 kts;21.3 kts;511.1 nm
8;"FRA
FRA 17";"Yannick Bestaven
Maître CoQ V";"22:00 FR
-30min";24°17.03'S;17°12.32'W;131°;20.4 kts;20.4 kts;490.5 nm
9;"FRA
FRA 2030";"Paul Meilhat
Biotherm";"22:30 FR
";24°25.37'S;17°42.62'W;134°;21.0 kts;21.0 kts;505.0 nm
10;"GBR
FRA 109";"Samantha Davies
Initiatives-Cœur";"22:30 FR
";22°58.44'S;18°39.74'W;133°;18.8 kts;18.8 kts;452.3 nm
11;"FRA
FRA 15";"Clarisse Crémer
L'Occitane en Provence";"22:30 FR
";22°16.54'S;19°02.13'W;130°;19.3 kts;19.2 kts;463.7 nm
12;"SUI
FRA 08";"Justine Mettraux
TeamWork - Team Snef";"22:30 FR
";22°22.72'S;19°11.06'W;128°;19.2 kts;19.1 kts;461.5 nm
13;"GER
MON 1297";"Boris Herrmann
Malizia - Seaexplorer";"22:30 FR
";22°04.52'S;19°02.52'W;128°;20.0 kts;19.8 kts;478.9 nm
14;"FRA
FRA 09";"Benjamin Dutreux
GUYOT environnement - Water Family";"22:30 FR
";21°38.08'S;20°12.06'W;129°;18.9 kts;18.8 kts;454.8 nm
15;"GBR
GBR 777";"Pip Hare
Medallia";"22:30 FR
";20°25.42'S;21°28.91'W;127°;17.4 kts;17.2 kts;417.8 nm
16;"FRA
FRA 10";"Romain Attanasio
Fortinet - Best Western";"22:30 FR
";20°07.64'S;21°31.88'W;131°;16.2 kts;16.2 kts;389.0 nm
17;"FRA
FRA 13";"Damien Seguin
Groupe APICIL";"22:30 FR
";19°20.44'S;22°07.96'W;128°;17.0 kts;16.9 kts;408.0 nm
