;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
18;"FRA
FRA 18";"Louis Burton
Bureau Vallée";"22:30 FR
";18°27.04'S;24°07.56'W;141°;18.0 kts;17.9 kts;431.9 nm
19;"FRA
FRA 27";"Isabelle Joschke
MACSF";"22:30 FR
";16°12.82'S;26°22.17'W;139°;15.7 kts;15.7 kts;377.0 nm
20;"FRA
FRA 29";"Jean Le Cam
Tout commence en Finistère - Armor-lux";"22:30 FR
";12°15.46'S;24°49.03'W;162°;11.3 kts;10.8 kts;270.3 nm
21;"FRA
FRA 5";"Éric Bellion
STAND AS ONE - Altavia";"22:30 FR
";12°21.27'S;25°32.27'W;160°;11.8 kts;11.3 kts;282.5 nm
22;"FRA
FRA 01";"Violette Dorange
DeVenir";"22:30 FR
";11°58.55'S;25°26.12'W;152°;11.0 kts;10.9 kts;264.0 nm
23;"SUI
SUI 7";"Alan Roura
Hublot";"22:30 FR
";11°17.78'S;25°35.98'W;167°;11.7 kts;11.0 kts;280.9 nm
24;"NZL
NZL 64";"Conrad Colman
MS Amlin";"22:30 FR
";10°49.71'S;25°11.11'W;174°;11.8 kts;10.8 kts;284.1 nm
25;"FRA
FRA 14";"Arnaud Boissières
La Mie Câline";"22:30 FR
";12°51.80'S;27°37.99'W;162°;13.7 kts;12.5 kts;329.9 nm
26;"FRA
FRA 30";"Benjamin Ferré
Monnoyeur - DUO for a JOB";"22:30 FR
";11°44.69'S;26°32.60'W;156°;12.3 kts;12.0 kts;296.0 nm
27;"ITA
ITA 34";"Giancarlo Pedote
Prysmian";"22:30 FR
";11°29.32'S;26°16.75'W;157°;12.0 kts;11.7 kts;288.5 nm
28;"FRA
FRA 172";"Louis Duc
Fives Group - Lantana Environnement";"22:30 FR
";12°57.15'S;28°02.65'W;161°;13.0 kts;11.9 kts;311.9 nm
29;"FRA
FRA 1000";"Tanguy Le Turquais
Lazare";"22:30 FR
";12°23.02'S;27°41.05'W;159°;13.2 kts;12.3 kts;316.8 nm
30;"JPN
JPN 11";"Kojiro Shiraishi
DMG MORI Global One";"22:30 FR
";11°57.30'S;27°25.27'W;157°;12.2 kts;11.8 kts;293.9 nm
31;"FRA
FRA 83";"Sébastien Marsset
FOUSSIER";"22:30 FR
";10°43.02'S;27°31.65'W;160°;11.9 kts;11.4 kts;285.6 nm
32;"FRA
FRA 22";"Guirec Soudée
Freelance.com";"22:30 FR
";10°41.59'S;27°36.99'W;162°;12.2 kts;11.6 kts;294.0 nm
33;"FRA
FRA 1461";"Antoine Cornic
HUMAN Immobilier";"22:30 FR
";09°18.45'S;28°27.65'W;171°;12.1 kts;10.8 kts;289.6 nm
34;"FRA
FRA 71";"Manuel Cousin
Coup de Pouce";"22:30 FR
";10°25.29'S;29°48.65'W;165°;12.3 kts;10.9 kts;295.8 nm
35;"FRA
FRA 56";"Fabrice Amedeo
Nexans - Wewise";"22:30 FR
";08°22.88'S;27°49.34'W;167°;10.8 kts;10.1 kts;259.8 nm
36;"SUI
SUI 49";"Oliver Heer
Tut gut.";"22:30 FR
";08°08.15'S;28°06.74'W;179°;10.9 kts;9.3 kts;261.4 nm
37;"BEL
BEL 207";"Denis Van Weynbergh
D'Ieteren Group";"22:30 FR
";07°41.46'S;29°19.80'W;170°;11.4 kts;10.3 kts;274.4 nm
38;"CHN
CHN 5";"Jingkun Xu
Singchain Team Haikou";"22:30 FR
";04°39.97'S;30°22.60'W;185°;11.4 kts;9.1 kts;272.9 nm
39;"HUN
HUN 23";"Szabolcs Weöres
New Europe";"22:30 FR
";10°26.02'N;26°11.27'W;176°;10.8 kts;10.8 kts;259.6 nm
RET;"FRA
FRA 53";"Maxime Sorel
V and B - Monbana - Mayenne";;;;;;;
