;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
1;"ITA
ITA 34";"Giancarlo Pedote
Prysmian";"22:30 FR
";25°47.85'N;24°18.89'W;217°;13.6 kts;12.0 kts;325.9 nm
2;"FRA
FRA 29";"Jean Le Cam
Tout commence en Finistère - Armor-lux";"22:30 FR
";25°41.04'N;20°06.07'W;196°;11.4 kts;11.4 kts;273.5 nm
3;"GBR
FRA 109";"Samantha Davies
Initiatives-Cœur";"22:30 FR
";26°11.17'N;24°34.61'W;221°;13.3 kts;11.2 kts;319.1 nm
4;"FRA
FRA 13";"Damien Seguin
Groupe APICIL";"22:30 FR
";26°12.43'N;24°21.99'W;222°;13.8 kts;11.7 kts;332.0 nm
5;"FRA
FRA 15";"Clarisse Crémer
L'Occitane en Provence";"22:30 FR
";26°16.03'N;24°50.02'W;223°;13.5 kts;11.1 kts;323.6 nm
6;"GBR
FRA 100";"Sam Goodchild
VULNERABLE";"22:30 FR
";26°15.13'N;26°03.89'W;244°;8.7 kts;4.6 kts;209.4 nm
7;"FRA
FRA 112";"Sébastien Simon
Groupe Dubreuil";"22:30 FR
";26°18.93'N;25°22.07'W;230°;10.5 kts;7.7 kts;251.7 nm
8;"FRA
FRA 30";"Benjamin Ferré
Monnoyeur - DUO for a JOB";"22:30 FR
";26°22.87'N;23°34.94'W;215°;11.5 kts;10.4 kts;276.6 nm
9;"SUI
SUI 7";"Alan Roura
Hublot";"22:30 FR
";26°24.45'N;23°00.27'W;215°;12.3 kts;11.2 kts;295.0 nm
10;"SUI
FRA 08";"Justine Mettraux
TeamWork - Team Snef";"22:30 FR
";26°37.29'N;25°42.98'W;230°;8.4 kts;5.9 kts;201.5 nm
11;"GER
MON 1297";"Boris Herrmann
Malizia - Seaexplorer";"22:30 FR
";26°42.32'N;25°44.91'W;231°;8.3 kts;5.7 kts;199.9 nm
12;"FRA
FRA85";"Nicolas Lunven
HOLCIM - PRB";"22:30 FR
";26°41.54'N;26°20.85'W;248°;7.9 kts;3.4 kts;188.8 nm
13;"FRA
FRA 09";"Benjamin Dutreux
GUYOT environnement - Water Family";"22:30 FR
";26°44.87'N;25°45.39'W;228°;10.0 kts;7.3 kts;239.4 nm
14;"FRA
FRA 1461";"Antoine Cornic
HUMAN Immobilier";"22:30 FR
";26°45.25'N;23°32.34'W;217°;11.6 kts;10.3 kts;277.7 nm
15;"FRA
FRA 17";"Yannick Bestaven
Maître CoQ V";"22:30 FR
";26°56.57'N;25°58.52'W;238°;8.7 kts;5.2 kts;209.7 nm
16;"FRA
FRA 14";"Arnaud Boissières
La Mie Câline";"22:30 FR
";26°56.90'N;23°08.53'W;223°;11.8 kts;9.9 kts;282.2 nm
17;"FRA
FRA 01";"Violette Dorange
DeVenir";"22:30 FR
";27°07.12'N;24°30.22'W;220°;12.1 kts;10.2 kts;290.2 nm
18;"NZL
NZL 64";"Conrad Colman
MS Amlin";"22:30 FR
";26°27.54'N;18°47.20'W;181°;11.1 kts;10.9 kts;265.7 nm
19;"FRA
FRA 10";"Romain Attanasio
Fortinet - Best Western";"22:30 FR
";27°08.72'N;24°27.44'W;223°;12.2 kts;10.0 kts;291.6 nm
20;"FRA
FRA 1000";"Tanguy Le Turquais
Lazare";"22:30 FR
";27°09.23'N;24°26.34'W;223°;11.6 kts;9.5 kts;277.4 nm
21;"FRA
FRA 22";"Guirec Soudée
Freelance.com";"22:30 FR
";27°10.29'N;24°22.86'W;224°;12.6 kts;10.3 kts;302.8 nm
22;"FRA
FRA 83";"Sébastien Marsset
FOUSSIER";"22:30 FR
";27°14.97'N;24°31.05'W;224°;12.0 kts;9.8 kts;288.8 nm
23;"JPN
JPN 11";"Kojiro Shiraishi
DMG MORI Global One";"22:30 FR
";27°19.25'N;24°25.79'W;227°;12.2 kts;9.6 kts;293.4 nm
24;"FRA
FRA 79";"Charlie Dalin
MACIF Santé Prévoyance";"22:30 FR
";27°19.40'N;26°35.34'W;248°;7.8 kts;3.4 kts;187.0 nm
