;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
25;"FRA
FRA 3";"Jérémie Beyou
Charal";"22:30 FR
";27°20.76'N;26°32.39'W;248°;7.6 kts;3.2 kts;183.0 nm
26;"FRA
FRA 24";"Yoann Richomme
PAPREC ARKÉA";"22:00 FR
-29min";27°21.57'N;26°25.57'W;246°;7.4 kts;3.4 kts;176.9 nm
27;"FRA
FRA 18";"Louis Burton
Bureau Vallée";"22:30 FR
";27°21.90'N;26°33.35'W;246°;8.3 kts;3.9 kts;198.1 nm
28;"FRA
FRA 59";"Thomas Ruyant
VULNERABLE";"22:30 FR
";27°26.94'N;26°52.32'W;240°;7.0 kts;3.7 kts;168.1 nm
29;"FRA
FRA 2030";"Paul Meilhat
Biotherm";"22:30 FR
";27°37.03'N;26°18.64'W;231°;10.8 kts;7.5 kts;258.9 nm
30;"FRA
FRA 27";"Isabelle Joschke
MACSF";"22:30 FR
";27°41.76'N;24°56.17'W;224°;13.0 kts;10.5 kts;311.2 nm
31;"FRA
FRA 172";"Louis Duc
Fives Group - Lantana Environnement";"22:30 FR
";27°53.97'N;25°32.01'W;230°;12.5 kts;9.3 kts;300.0 nm
32;"GBR
GBR 777";"Pip Hare
Medallia";"22:30 FR
";27°58.30'N;25°26.07'W;233°;10.9 kts;7.6 kts;262.1 nm
33;"FRA
FRA 5";"Éric Bellion
STAND AS ONE - Altavia";"22:30 FR
";28°07.78'N;24°49.84'W;219°;13.2 kts;11.3 kts;316.8 nm
34;"FRA
FRA 56";"Fabrice Amedeo
Nexans - Wewise";"22:30 FR
";28°26.28'N;24°29.21'W;222°;12.9 kts;10.8 kts;310.7 nm
35;"SUI
SUI 49";"Oliver Heer
Tut gut.";"22:30 FR
";28°36.34'N;22°24.73'W;220°;12.8 kts;11.3 kts;308.0 nm
36;"FRA
FRA 71";"Manuel Cousin
Coup de Pouce";"22:30 FR
";28°48.43'N;23°40.41'W;217°;13.5 kts;12.0 kts;323.0 nm
37;"BEL
BEL 207";"Denis Van Weynbergh
D'Ieteren Group";"22:30 FR
";29°41.52'N;23°15.00'W;216°;12.9 kts;11.6 kts;308.8 nm
38;"CHN
CHN 5";"Jingkun Xu
Singchain Team Haikou";"22:30 FR
";30°44.00'N;20°11.28'W;202°;13.8 kts;13.6 kts;331.9 nm
39;"HUN
HUN 23";"Szabolcs Weöres
New Europe";"22:30 FR
";32°18.73'N;15°26.92'W;185°;7.5 kts;7.4 kts;181.1 nm
RET;"FRA
FRA 53";"Maxime Sorel
V and B - Monbana - Mayenne";;;;;;;
