;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
1;"GBR
FRA 100";"Sam Goodchild
VULNERABLE";"22:30 FR
";37°15.59'N;12°43.21'W;202°;15.9 kts;15.9 kts;381.2 nm
2;"FRA
FRA 79";"Charlie Dalin
MACIF Santé Prévoyance";"22:30 FR
";37°18.10'N;12°40.23'W;204°;14.5 kts;14.4 kts;346.9 nm
3;"FRA
FRA 24";"Yoann Richomme
PAPREC ARKÉA";"22:30 FR
";37°37.81'N;13°40.89'W;208°;16.3 kts;16.2 kts;390.6 nm
4;"FRA
FRA 3";"Jérémie Beyou
Charal";"22:30 FR
";37°53.04'N;13°24.22'W;208°;15.2 kts;15.1 kts;365.3 nm
5;"FRA
FRA 59";"Thomas Ruyant
VULNERABLE";"22:30 FR
";38°06.45'N;13°15.70'W;207°;15.8 kts;15.7 kts;378.0 nm
6;"FRA
FRA 112";"Sébastien Simon
Groupe Dubreuil";"22:30 FR
";38°24.59'N;14°03.47'W;215°;14.4 kts;14.0 kts;345.5 nm
7;"GER
MON 1297";"Boris Herrmann
Malizia - Seaexplorer";"22:30 FR
";37°46.67'N;11°40.76'W;199°;16.9 kts;16.8 kts;404.5 nm
8;"FRA
FRA 18";"Louis Burton
Bureau Vallée";"22:30 FR
";37°32.54'N;10°47.43'W;191°;15.3 kts;15.0 kts;366.0 nm
9;"FRA
FRA 17";"Yannick Bestaven
Maître CoQ V";"22:00 FR
-30min";37°51.92'N;11°28.81'W;197°;15.0 kts;14.9 kts;359.4 nm
10;"SUI
FRA 08";"Justine Mettraux
TeamWork - Team Snef";"22:30 FR
";38°29.40'N;12°24.07'W;202°;14.2 kts;14.2 kts;339.6 nm
11;"FRA
FRA 2030";"Paul Meilhat
Biotherm";"22:30 FR
";38°13.80'N;11°00.40'W;197°;13.7 kts;13.7 kts;329.8 nm
12;"FRA
FRA 09";"Benjamin Dutreux
GUYOT environnement - Water Family";"22:30 FR
";39°06.80'N;13°16.01'W;214°;15.0 kts;14.7 kts;360.2 nm
13;"FRA
FRA85";"Nicolas Lunven
HOLCIM - PRB";"22:30 FR
";40°02.54'N;16°54.63'W;229°;16.5 kts;14.6 kts;396.5 nm
14;"NZL
NZL 64";"Conrad Colman
MS Amlin";"22:30 FR
";39°21.35'N;13°03.35'W;218°;13.4 kts;13.0 kts;322.2 nm
