;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
1;"GBR
FRA 100";"Sam Goodchild
VULNERABLE";"02:30 FR
";08°21.74'N;29°48.81'W;174°;20.0 kts;19.9 kts;480.1 nm
2;"FRA
FRA 112";"Sébastien Simon
Groupe Dubreuil";"02:30 FR
";09°11.17'N;29°02.56'W;174°;19.8 kts;19.7 kts;475.0 nm
3;"FRA
FRA 79";"Charlie Dalin
MACIF Santé Prévoyance";"02:30 FR
";09°11.45'N;30°24.62'W;175°;19.6 kts;19.4 kts;470.8 nm
4;"FRA
FRA 24";"Yoann Richomme
PAPREC ARKÉA";"02:30 FR
";09°25.31'N;30°13.75'W;175°;19.5 kts;19.3 kts;467.7 nm
5;"FRA
FRA85";"Nicolas Lunven
HOLCIM - PRB";"02:30 FR
";09°18.47'N;30°49.23'W;171°;19.0 kts;19.0 kts;457.1 nm
6;"FRA
FRA 59";"Thomas Ruyant
VULNERABLE";"02:30 FR
";09°16.13'N;31°57.48'W;170°;18.1 kts;18.0 kts;433.6 nm
7;"FRA
FRA 17";"Yannick Bestaven
Maître CoQ V";"02:30 FR
";09°57.88'N;29°44.07'W;173°;18.2 kts;18.2 kts;438.0 nm
8;"FRA
FRA 3";"Jérémie Beyou
Charal";"02:30 FR
";09°56.22'N;30°24.04'W;175°;18.3 kts;18.1 kts;438.5 nm
9;"GBR
FRA 109";"Samantha Davies
Initiatives-Cœur";"02:30 FR
";10°15.86'N;29°25.00'W;174°;17.8 kts;17.7 kts;427.1 nm
10;"FRA
FRA 15";"Clarisse Crémer
L'Occitane en Provence";"02:30 FR
";10°19.71'N;29°37.72'W;173°;17.6 kts;17.5 kts;421.6 nm
11;"SUI
FRA 08";"Justine Mettraux
TeamWork - Team Snef";"02:30 FR
";10°21.47'N;30°10.43'W;173°;17.2 kts;17.1 kts;412.1 nm
12;"FRA
FRA 2030";"Paul Meilhat
Biotherm";"02:30 FR
";10°26.64'N;30°54.63'W;174°;17.1 kts;17.0 kts;410.8 nm
13;"FRA
FRA 29";"Jean Le Cam
Tout commence en Finistère - Armor-lux";"02:30 FR
";11°28.78'N;24°05.16'W;218°;13.6 kts;12.6 kts;326.9 nm
14;"FRA
FRA 09";"Benjamin Dutreux
GUYOT environnement - Water Family";"02:30 FR
";11°53.67'N;30°42.57'W;176°;15.1 kts;14.9 kts;361.8 nm
15;"FRA
FRA 13";"Damien Seguin
Groupe APICIL";"02:30 FR
";12°17.70'N;29°35.48'W;177°;15.7 kts;15.6 kts;377.4 nm
16;"GBR
GBR 777";"Pip Hare
Medallia";"02:30 FR
";12°09.44'N;31°40.19'W;176°;13.7 kts;13.5 kts;328.1 nm
17;"GER
MON 1297";"Boris Herrmann
Malizia - Seaexplorer";"02:30 FR
";12°38.45'N;30°48.48'W;175°;14.8 kts;14.7 kts;355.1 nm
18;"FRA
FRA 10";"Romain Attanasio
Fortinet - Best Western";"02:30 FR
";12°43.23'N;31°14.49'W;171°;15.4 kts;15.4 kts;370.8 nm
19;"FRA
FRA 18";"Louis Burton
Bureau Vallée";"02:30 FR
";13°28.67'N;29°58.64'W;176°;14.1 kts;13.9 kts;337.5 nm
20;"FRA
FRA 27";"Isabelle Joschke
MACSF";"02:30 FR
";13°23.52'N;30°35.39'W;177°;13.9 kts;13.7 kts;332.6 nm
21;"FRA
FRA 83";"Sébastien Marsset
FOUSSIER";"02:30 FR
";13°49.46'N;28°35.33'W;169°;12.3 kts;12.3 kts;296.0 nm
22;"FRA
FRA 30";"Benjamin Ferré
Monnoyeur - DUO for a JOB";"02:30 FR
";13°48.96'N;29°04.26'W;179°;14.1 kts;13.9 kts;337.3 nm
23;"FRA
FRA 5";"Éric Bellion
STAND AS ONE - Altavia";"02:30 FR
";13°55.95'N;28°34.24'W;172°;13.7 kts;13.7 kts;329.7 nm
24;"FRA
FRA 14";"Arnaud Boissières
La Mie Câline";"02:30 FR
";14°03.06'N;28°19.70'W;176°;12.9 kts;12.9 kts;310.4 nm
25;"NZL
NZL 64";"Conrad Colman
MS Amlin";"02:30 FR
";14°20.64'N;21°35.32'W;213°;11.3 kts;10.9 kts;270.9 nm
26;"FRA
FRA 172";"Louis Duc
Fives Group - Lantana Environnement";"02:30 FR
";14°00.71'N;30°46.85'W;173°;12.6 kts;12.5 kts;302.5 nm
27;"FRA
FRA 1000";"Tanguy Le Turquais
Lazare";"02:30 FR
";14°20.25'N;29°58.04'W;169°;13.0 kts;13.0 kts;312.6 nm
28;"ITA
ITA 34";"Giancarlo Pedote
Prysmian";"02:30 FR
";14°56.00'N;27°13.73'W;171°;11.0 kts;11.0 kts;263.0 nm
29;"FRA
FRA 01";"Violette Dorange
DeVenir";"02:30 FR
";14°44.35'N;29°19.04'W;178°;12.9 kts;12.8 kts;310.1 nm
30;"FRA
FRA 1461";"Antoine Cornic
HUMAN Immobilier";"02:30 FR
";15°13.08'N;27°59.16'W;182°;9.1 kts;8.9 kts;217.5 nm
31;"FRA
FRA 22";"Guirec Soudée
Freelance.com";"02:30 FR
";14°49.65'N;30°35.11'W;177°;13.1 kts;12.9 kts;313.7 nm
32;"JPN
JPN 11";"Kojiro Shiraishi
DMG MORI Global One";"02:30 FR
";14°54.13'N;30°30.73'W;174°;14.2 kts;14.1 kts;341.0 nm
33;"SUI
SUI 7";"Alan Roura
Hublot";"02:30 FR
";16°05.04'N;27°27.65'W;183°;10.6 kts;10.4 kts;254.3 nm
34;"FRA
FRA 56";"Fabrice Amedeo
Nexans - Wewise";"02:30 FR
";15°53.04'N;29°14.12'W;175°;10.8 kts;10.7 kts;258.3 nm
35;"FRA
FRA 71";"Manuel Cousin
Coup de Pouce";"02:30 FR
";15°59.70'N;30°59.63'W;175°;11.6 kts;11.5 kts;278.1 nm
36;"SUI
SUI 49";"Oliver Heer
Tut gut.";"02:30 FR
";18°30.64'N;27°02.18'W;172°;8.7 kts;8.7 kts;208.4 nm
37;"BEL
BEL 207";"Denis Van Weynbergh
D'Ieteren Group";"02:30 FR
";18°45.35'N;30°29.36'W;181°;9.9 kts;9.6 kts;236.9 nm
38;"CHN
CHN 5";"Jingkun Xu
Singchain Team Haikou";"02:30 FR
";20°24.09'N;27°57.53'W;192°;6.0 kts;5.7 kts;144.4 nm
39;"HUN
HUN 23";"Szabolcs Weöres
New Europe";"02:30 FR
";25°41.00'N;16°15.69'W;206°;5.5 kts;5.5 kts;132.7 nm
;;;;;;;;;
