;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
1;"GBR
FRA 100";"Sam Goodchild
VULNERABLE";"02:30 FR
";27°06.76'N;23°16.65'W;223°;15.7 kts;13.6 kts;377.5 nm
2;"FRA
FRA85";"Nicolas Lunven
HOLCIM - PRB";"02:30 FR
";27°25.71'N;23°46.05'W;225°;15.8 kts;13.3 kts;379.4 nm
3;"FRA
FRA 24";"Yoann Richomme
PAPREC ARKÉA";"02:30 FR
";27°51.44'N;23°42.53'W;221°;13.1 kts;11.2 kts;314.2 nm
4;"FRA
FRA 79";"Charlie Dalin
MACIF Santé Prévoyance";"02:30 FR
";27°54.22'N;23°52.42'W;226°;14.0 kts;11.5 kts;336.4 nm
5;"FRA
FRA 3";"Jérémie Beyou
Charal";"02:30 FR
";27°55.34'N;23°52.35'W;225°;14.1 kts;11.7 kts;338.8 nm
6;"FRA
FRA 18";"Louis Burton
Bureau Vallée";"02:30 FR
";28°00.28'N;23°35.37'W;221°;14.8 kts;12.9 kts;356.1 nm
7;"SUI
FRA 08";"Justine Mettraux
TeamWork - Team Snef";"02:30 FR
";28°04.20'N;23°23.11'W;225°;15.7 kts;13.3 kts;377.3 nm
8;"FRA
FRA 17";"Yannick Bestaven
Maître CoQ V";"02:30 FR
";28°04.96'N;23°14.25'W;220°;15.2 kts;13.4 kts;363.8 nm
9;"GER
MON 1297";"Boris Herrmann
Malizia - Seaexplorer";"02:30 FR
";28°06.91'N;23°19.47'W;226°;15.2 kts;12.7 kts;365.8 nm
10;"FRA
FRA 112";"Sébastien Simon
Groupe Dubreuil";"02:30 FR
";28°03.83'N;22°21.36'W;222°;13.4 kts;11.7 kts;321.2 nm
11;"FRA
FRA 59";"Thomas Ruyant
VULNERABLE";"02:30 FR
";28°11.20'N;24°37.21'W;226°;14.2 kts;11.4 kts;340.6 nm
12;"FRA
FRA 09";"Benjamin Dutreux
GUYOT environnement - Water Family";"02:30 FR
";28°31.98'N;23°11.31'W;227°;16.1 kts;13.4 kts;385.4 nm
13;"FRA
FRA 15";"Clarisse Crémer
L'Occitane en Provence";"02:30 FR
";29°17.53'N;21°17.75'W;221°;15.6 kts;14.0 kts;373.2 nm
14;"ITA
ITA 34";"Giancarlo Pedote
Prysmian";"02:30 FR
";29°16.40'N;21°05.52'W;223°;14.7 kts;13.0 kts;352.3 nm
