;;Skipper / Bateau;Heure FR;Latitude;Longitude;Cap;Vitesse;VMG;Distance
15;"GBR
FRA 109";"Samantha Davies
Initiatives-Cœur";"02:30 FR
";29°19.23'N;20°59.65'W;224°;14.3 kts;12.5 kts;342.0 nm
16;"FRA
FRA 2030";"Paul Meilhat
Biotherm";"02:30 FR
";29°34.68'N;23°12.67'W;226°;14.7 kts;12.2 kts;352.9 nm
17;"FRA
FRA 30";"Benjamin Ferré
Monnoyeur - DUO for a JOB";"02:30 FR
";29°25.87'N;21°05.37'W;221°;13.4 kts;12.0 kts;321.0 nm
18;"FRA
FRA 13";"Damien Seguin
Groupe APICIL";"02:30 FR
";29°31.77'N;20°39.54'W;220°;15.9 kts;14.6 kts;381.6 nm
19;"FRA
FRA 29";"Jean Le Cam
Tout commence en Finistère - Armor-lux";"02:30 FR
";29°14.29'N;18°37.10'W;204°;11.4 kts;11.3 kts;273.0 nm
20;"FRA
FRA 1461";"Antoine Cornic
HUMAN Immobilier";"02:30 FR
";29°41.11'N;20°53.94'W;216°;13.6 kts;12.6 kts;326.2 nm
21;"FRA
FRA 1000";"Tanguy Le Turquais
Lazare";"02:30 FR
";29°46.58'N;21°26.42'W;221°;14.4 kts;12.9 kts;346.6 nm
22;"JPN
JPN 11";"Kojiro Shiraishi
DMG MORI Global One";"02:30 FR
";29°45.19'N;21°00.69'W;222°;15.7 kts;14.1 kts;376.6 nm
23;"GBR
GBR 777";"Pip Hare
Medallia";"02:30 FR
";29°51.82'N;22°01.77'W;225°;15.6 kts;13.4 kts;374.4 nm
24;"SUI
SUI 7";"Alan Roura
Hublot";"02:30 FR
";29°41.71'N;20°12.15'W;219°;14.9 kts;13.7 kts;356.8 nm
25;"FRA
FRA 14";"Arnaud Boissières
La Mie Câline";"02:30 FR
";29°40.04'N;19°41.30'W;214°;14.3 kts;13.6 kts;342.4 nm
26;"FRA
FRA 01";"Violette Dorange
DeVenir";"02:30 FR
";30°01.40'N;21°38.46'W;217°;14.9 kts;13.6 kts;357.4 nm
27;"FRA
FRA 10";"Romain Attanasio
Fortinet - Best Western";"02:30 FR
";30°01.98'N;21°30.74'W;228°;16.1 kts;13.6 kts;385.6 nm
28;"FRA
FRA 22";"Guirec Soudée
Freelance.com";"02:30 FR
";29°58.30'N;20°57.77'W;222°;14.0 kts;12.5 kts;337.0 nm
29;"FRA
FRA 83";"Sébastien Marsset
FOUSSIER";"02:30 FR
";30°00.91'N;21°19.71'W;220°;13.4 kts;12.1 kts;322.5 nm
30;"FRA
FRA 172";"Louis Duc
Fives Group - Lantana Environnement";"02:30 FR
";30°18.72'N;22°06.58'W;227°;15.9 kts;13.5 kts;381.9 nm
31;"NZL
NZL 64";"Conrad Colman
MS Amlin";"02:30 FR
";29°54.45'N;18°30.63'W;219°;10.7 kts;10.0 kts;257.7 nm
32;"FRA
FRA 27";"Isabelle Joschke
MACSF";"02:30 FR
";30°23.34'N;21°45.36'W;223°;18.4 kts;16.4 kts;441.1 nm
33;"FRA
FRA 5";"Éric Bellion
STAND AS ONE - Altavia";"02:30 FR
";31°15.89'N;21°39.47'W;218°;15.6 kts;14.2 kts;374.3 nm
34;"FRA
FRA 56";"Fabrice Amedeo
Nexans - Wewise";"02:30 FR
";31°22.67'N;21°02.91'W;221°;13.9 kts;12.5 kts;334.7 nm
35;"SUI
SUI 49";"Oliver Heer
Tut gut.";"02:30 FR
";31°56.47'N;19°14.63'W;219°;11.9 kts;10.9 kts;284.9 nm
36;"FRA
FRA 71";"Manuel Cousin
Coup de Pouce";"02:30 FR
";32°27.08'N;20°32.30'W;208°;13.6 kts;13.2 kts;327.2 nm
37;"BEL
BEL 207";"Denis Van Weynbergh
D'Ieteren Group";"02:30 FR
";33°10.37'N;20°21.96'W;214°;13.9 kts;13.0 kts;333.1 nm
38;"FRA
FRA 53";"Maxime Sorel
V and B - Monbana - Mayenne";"02:30 FR
";32°41.43'N;16°44.04'W;224°;7.6 kts;6.9 kts;182.7 nm
39;"CHN
CHN 5";"Jingkun Xu
Singchain Team Haikou";"02:30 FR
";34°59.75'N;18°14.46'W;212°;9.5 kts;9.1 kts;228.0 nm
40;"HUN
HUN 23";"Szabolcs Weöres
New Europe";"02:30 FR
";35°04.26'N;15°25.02'W;219°;4.5 kts;4.2 kts;108.4 nm
